Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
A Dream Saw for Rough-Outs,The New Pégas Scroll Band Saw removes more wood from blanks faster and easier,Staff,,,87,Summer,2019,21,Features,product,tools &amp; shop,scroll saw,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Spotlight: Roman &amp; Olga Repikova,"From foraged wood to handcrafted finishes and tools, this couple takes ""made with love"" to a new level","Schofield, Kaylee",,,87,Summer,2019,47,Features,chip carving,etsy,artist profile,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Spotlight: Frank Napoli,"This carver gets inspiration from daydreams, PBS shows, and Dr. Seuss","Schofield, Kaylee",,,87,Summer,2019,80,Features,caricature,animals,funny,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Summery Supernova Coasters,Minimalistic chip carving design is chic and perfect for beginners,"Chernikov, Roman",,,87,Summer,2019,39,Patterns,chip carving,coasters,minimalist,useful,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Stylized Wooden Combs,Love your locks with a look to beat the barber,"Repikova, Roman and Olga",,,87,Summer,2019,48,Patterns,chp carving,comb,useful,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Classic Bark Green Man,Dancing eyes and an oak-leaf mustache add character to this woodland spirit,"Overcash, Kathy",,,87,Summer,2019,26,Projects,Green man,fantasy,tree,leaves,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Greedy Bear Cub,Taste sweet success with this cute caricature in just eight steps,"Gosnell, Dwayne",,,87,Summer,2019,35,Projects,caricature,animals,bear,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Northern Shoveler Hen Walking Stick,Want a realistic bird you can carry everywhere? This piece fits the bill,"Purnell, Paul",,,87,Summer,2019,41,Projects,bird,realistic,walking stick,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Wood Spirit in Cottonwood,This pensive forest guardian is a perfect intro to carving the human face,"LaCasse, Alec",,,87,Summer,2019,51,Projects,wood spirit,realistic,tree,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Carved &amp; Burned Feather Earrings,Decorate your lobes with a pair of nature-inspired baubles,"Hundt-Brown, Karen",,,87,Summer,2019,56,Projects,woodburning,jewelry,feather,nature,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Cute &amp; Easy Caricature Pig,"This carved version of Wilbur is definitely ""some pig""","Shinlever, Wayne",,,87,Summer,2019,59,Projects,caricature,animals,pig,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Baby Chickadee,a little bird told us this is the perfect summer project for power carvers,"Clark, Butch",,,87,Summer,2019,69,Projects,caricature,bird,power carving,animals,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Civil War Soldier Busts,Focus on the face in these classic caricatures,"Akers, Mark",,,87,Summer,2019,74,Projects,caricature,history,bottle stoppers,Civil War,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
I Prefer Brie,A humorous pairing of details makes this unlikely gourmand a project to remember,"Napoli, Frank",,,87,Summer,2019,82,Projects,caricature,animals,funny,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Carving Classic Molding,"Dress up a building, box, or frame with these elegant designs","Allen, Mike",,,87,Summer,2019,65,Techniques,molding,classic,egg &amp; dart,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-87-summer-2019.html
Choosing a Whittling Knife,What to look for when selecting a folding knife,Staff,,,WHITSIP2019,Whittling Vol. 6,2019,6,Starter Guide,tools,,,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
The Basics of Sharpening,Properly prepare your knife for safe and enjoyable whittling,Staff,,,WHITSIP2019,Whittling Vol. 6,2019,8,Starter Guide,tools,safety,,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whittling Safety,A few simple rules to prevent injuries,Staff,,,WHITSIP2019,Whittling Vol. 6,2019,10,Starter Guide,safety,tools,,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Basic Knife Cuts for Whittling,Complete most projects with four types of cuts,Staff,,,WHITSIP2019,Whittling Vol. 6,2019,11,Starter Guide,safety,tools,knife,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Teaching Kids to Whittle,Simple suggestions make it fun and easy,"Kinsey, Mindy",,,WHITSIP2019,Whittling Vol. 6,2019,12,Starter Guide,beginner,children,,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Woodsy Bear,Learning to whittle a simple soap bear can lead to a lifetime of pleasure,"Bolyard, Janet",,,WHITSIP2019,Whittling Vol. 6,2019,13,Starter Guide,beginner,children,soap carving,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Man in the Moon,Clever carving uses just a knife and a scrap of basswood,"Stetson, Dave",,,WHITSIP2019,Whittling Vol. 6,2019,21,Beginning Carvers,caricature,moon,beginner,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Twisted Spiral Ornament,Whittle this seemingly complex design in just eight steps,"Kent, Carol",,,WHITSIP2019,Whittling Vol. 6,2019,24,Beginning Carvers,spiral,twisted,ornament,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
10-Minute Dogs,This pattern is fast and easy—and adaptable to any breed,"Hindes, Tom",,,WHITSIP2019,Whittling Vol. 6,2019,27,Beginning Carvers,dogs,flat plane,animal,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whimmy Diddle,Turn a stick or two into an entertaining toy,"Lubkemann, Chris",,,WHITSIP2019,Whittling Vol. 6,2019,29,Beginning Carvers,toy,sticks,whittle,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whittling a Tiny Hippo,Practice carving animal caricatures with this amusing miniature,"Tomashek, Steve",,,WHITSIP2019,Whittling Vol. 6,2019,31,Beginning Carvers,hippo,caricature,animal,tiny,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Simple Santa,Spread holiday cheer with this basic design,"Schuck, Kathleen",,,WHITSIP2019,Whittling Vol. 6,2019,34,Beginning Carvers,Santa,Christmas,whittle,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Slip-Bark Whistle,"This kid favorite is quick, easy, and really really loud","Thomas-Price, Andrew",,,WHITSIP2019,Whittling Vol. 6,2019,96,Beginning Carvers,Stick,whistle,toy,children,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Celtic Knotwork,"Simple design can be a brooch, pendant, or ornament","Western, Dave",,,WHITSIP2019,Whittling Vol. 6,2019,37,Quick &amp; Easy,celtic,design,knot,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Bark Pine Trees,Use cottonwood bark scraps to create whimsical pine tree magnets,"Elswit, Betsy",,,WHITSIP2019,Whittling Vol. 6,2019,39,Quick &amp; Easy,bark,trees,nature,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Caricature Snowman,Start your holiday early with this fun design,"Young, Greg",,,WHITSIP2019,Whittling Vol. 6,2019,41,Quick &amp; Easy,snowman,caricature,winter,holiday,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Letter Opener,Four simple steps to a long-lasting tool,"Lubkemann, Chris",,,WHITSIP2019,Whittling Vol. 6,2019,43,Quick &amp; Easy,letter opener,tools,stick,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
5-Minute Wizard,Beginner project is a great introduction to woodcarving,"Hindes, Tom",,,WHITSIP2019,Whittling Vol. 6,2019,45,Quick &amp; Easy,wizard,fantasy,magic,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whittling a Nuthatch,Use a utility knife to carve a charming folk art bird,"Cutts, Glyn",,,WHITSIP2019,Whittling Vol. 6,2019,49,Quick &amp; Easy,bird,nature,realistic,nuthatch,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Wilma Witch,Whittle a wacky witch from a basswood Santa blank,"Dickie, Lori",,,WHITSIP2019,Whittling Vol. 6,2019,53,Quick &amp; Easy,Halloween,holiday,fantasy,witch,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Cottonwood Bark Chain,"Choosing a different type of wood makes it easier to join the ""chain gang""","Wiebe, Rick",,,WHITSIP2019,Whittling Vol. 6,2019,57,Weekend Projects,chain,cottonwood,anchor,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whittling Java John,Use large flat planes to emphasize exaggerated features,"Refsal, Harley",,,WHITSIP2019,Whittling Vol. 6,2019,61,Weekend Projects,caricature,flat plane,scandinavian,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
A Family of Owls,These watchul egg owls are a hoot to hold and to make,"Kulp, Steve",,,WHITSIP2019,Whittling Vol. 6,2019,67,Weekend Projects,animals,eggs,owls,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Classic Ball-in-Cage,This old-time whittling project is a real attention-grabber,"Dussinger, Addison ""Dusty""",,,WHITSIP2019,Whittling Vol. 6,2019,70,Weekend Projects,ball-in-cage,spiral,whimsey,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Americana Eagle Walking Stick,Folk art hiking stick inspired by historic carvings. PLUS: Harvesting blanks for walking sticks (page 78),"Cipa, Shawn",,,WHITSIP2019,Whittling Vol. 6,2019,73,Weekend Projects,walking stick,folk art,hiking,eagle,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Whittle a Spoon Without a Hook Knife,This surprisingly elegant rough-hewn spoon proves you can create curves by carving straight lines,"Mac, Jon",,,WHITSIP2019,Whittling Vol. 6,2019,81,Weekend Projects,spoon,tools,whittle,,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Branch Rooster,Turn a twig into a classic carving,"Lubkemann, Chris",,,WHITSIP2019,Whittling Vol. 6,2019,86,Weekend Projects,rooster,twig,branch,tiny,https://www.foxchapelpublishing.com/whittling-volume-6-2019.html
Sunken Treasure,A team hunts underwater for some very special wood,"Schofield, Kaylee",,,88,Fall,2019,70,Feature,sinker wood,bayou,cypress,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Working with Sinker Wood,Experts evaluate Blue Bayou cypress for various projects,Staff,,,88,Fall,2019,72,Feature,product review,bayou,cypress,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Autumn Jewelry,Power carve a lovely array of wearable acorns and leaves,"McCafffrey, Keoma",,,88,Fall,2019,35,Pattern,jewelry,leaves,acorns,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Chip-Carved Ball-Foot Box,Layered leaf and wave patterns evoke a breezy afternoon in the woods,"Leenhouts, Marty",,,88,Fall,2019,45,Pattern,chip carving,box,leaf,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Pickin' and Grinnin',"Fur, grass, cloth, wood--try out a multitude of textures on this cheeky beaver","Hershey, Bob",,,88,Fall,2019,23,Projects,caricature,animal,beaver,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Making a Mobius,This eye-catching design will make you want to do the twist,"Borecki, Tom",,,88,Fall,2019,31,Projects,sculpture,stylized,mobius,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Cat and Moon Pendant,Practice hand carving hardwood with this friendly feline charm,"Assumma, Massimo",,,88,Fall,2019,37,Projects,jewelry,cat,moon,animal,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Power Carving a Golden Retriever,While away the dog days on this noble canine project,"Andrews, Lori",,,88,Fall,2019,40,Projects,power carving,dog,animal,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Jack the Pumpkin,You won't need a fairy godmother to bring this gourd to life,"Green, Larry",,,88,Fall,2019,49,Projects,caricature,halloween,jack-o'-lantern,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Old World Halloween Ornaments,Carve a rustic jack-o'-lantern and a not-so-creepy kitty,"Motovidlak, Jill",,,88,Fall,2019,53,Projects,halloween,cat,pumpkin,caricature,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Making a Mummy,Use a micro tool to awaken this cheerful keeper of the crypt,"Cartledge, Mitch",,,88,Fall,2019,57,Projects,halloween,mummy,caricature,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Whittle a Wily Witch Pin,No need for toil and trouble on this simple flat-plane hag!,"Hindes, Tom",,,88,Fall,2019,61,Projects,halloween,witch,pin,whittling,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Count Dracula,Hone your carving and painting skills on this toothy troublemaker,"Gosnell, Dwayne",,,88,Fall,2019,65,Projects,halloween,caricature,vampire,dracula,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Burning the Raven,Learn to create feather and stone textures with this Poe-worthy portrait,"Connell, Valarie",,,88,Fall,2019,74,Projects,halloween,raven,pyrography,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Classic Oak Leaf Frame,This practical (and pretty) pierced design is a walk in the park,"Fortune, Mark",,,88,Fall,2019,80,Projects,picture frame,leaves,oak leaf,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Customize a Fan Bear,Show your favorite sports nuts they're #1 with personalized caricatures,"Owens, Eric",,,88,Fall,2019,85,Projects,caricature,animal,sports,bear,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-88-fall-2019.html
Spotlight: Kevin Kaminski,"This artist fell in love with spoons at a chili party; we check in with him 3,000 utensils later","Schofield, Kaylee",,,89,Winter,2019,71,Features,spoons,spoon carving,artist profile,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
WOO-ing Women Woodworkers,Workshops created by and for women are popping up all over,"Schagrin, Danielle",,,89,Winter,2019,84,Features,women woodworkers,woodcuts,printmaking,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Should You Add a Lathe to Your Shop?,Turn this tool into a useful carving companion,"Schofield, Kaylee",,,89,Winter,2019,88,Features,tools and shop,lathe,turning,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Chip-Carved Sleds,"Slide into winter with these clean, geometric decorations","Lynum, Charlene",,,89,Winter,2019,30,Patterns,chip-carving,ornaments,holiday,Christmas,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Hand Plane Woodcut,Make an artistic print of a classic tool of the trade,"Tantillo, Renee",,,89,Winter,2019,86,Patterns,woodcut,hand tools,printmaking,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Bethlehem Star,Top your tree with this stellar chip-carved design,"Leenhouts, Marty",,,89,Winter,2019,96,Patterns,chip-carving,Christmas,holiday,star,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Santa's Little Helpers,The winter holidays are for the birds--just ask St. Nick!,"Cipa, Shawn",,,89,Winter,2019,23,Projects,Santa,folk art,animals,holiday,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Fireman Santa,This jolly elf has gone undercover to put our fires--and keep you off his naughty list,"Scott, Russell",,,89,Winter,2019,32,Projects,Santa,fireman,holiday,Christmas,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Relief-Carved Snowman &amp; Santa,A friendly competition between carvers shows just how versatile a blank can be,"Beane, Roger","Russell, Steve",,89,Winter,2019,39,Projects,Santa,Snowman,holiday,Christmas,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Simple Chimney Santa,Try out your whittling skills on a little project with a big personality,"Kozakiewicz, Bob",,,89,Winter,2019,42,Projects,Santa,caricature,Christmas,ornament,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Scottish St. Nick,Santa dons a matching kilt and cap for his holiday in the Highlands,"Swartz, Don",,,89,Winter,2019,45,Projects,Santa,Scottish,Tartan,Christmas,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Burned and Painted Nativity Ornaments,Crisp lines and vivid colors make for a stirring four-part manger scene,"Hower, Carolea",,,89,Winter,2019,51,Projects,pyrography,Christmas,ornament,nativity,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Flate-Plane Reindeer,Give your tree some vintage flair with this easy-carve ornament,"Ferguson, Brian",,,89,Winter,2019,60,Projects,flat-plane,Christmas,ornament,animal,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Plucky Penguins,Carve a colony of flightless birds--with just one knife!,"Barraclough, Sara",,,89,Winter,2019,63,Projects,caricature,whittling,animal,winter,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Norbert the Elf,Carving Santa's head watchmaker will take no time at all!,"Kozakiewicz, Bob",,,89,Winter,2019,67,Projects,caricature,Elf,Christmas,ornament,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Making a Walnut Scoop,Hosting a holiday dinner? This stylish utensil is the perfect serving tool,"Kaminski, Kevin",,,89,Winter,2019,74,Projects,spoons,spoon carving,walnut,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Carving a Rosette Appliqué,This floral motif has roots in ancient architecture,"Kennedy, Robert",,,89,Winter,2019,79,Projects,rosette,appliqué,classical,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-89-winter-2019.html
Making an Insect Condo,Protect pollinators using common materials from around the yard and shop,Kaylee Schofield,,,90,Spring,2020,44,Features,nature,insects,bees,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Airbrushing on the Cheap,You could have two-thirds of an air-brush setup hiding in your workshop!,Jon Deck,,,90,Spring,2020,67,Features,painting,budget,tips,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
The Key Marco Cat,The tools used to carve this ancient figurine might surprise you,Kaylee Schofield,,,90,Spring,2020,89,Features,artifact,animal,archaeology,carving,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Chip-Carved Gothic Cross,See the contrasting design appear with each new cut!,Marty Leenhouts,,,90,Spring,2020,29,Patterns,holiday,religious,cross,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Mythical Woodland Cottage: Part 1,Carve layers of pine to make a cozy home for a literary creature,Betty Padden,,,90,Spring,2020,78,Techniques,caricature,hobbit house,cottage,fantasy,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Love You Beary Much,"This charming beast won't steal your honey, but she may steal your heart",Sara Barraclough,,,90,Spring,2020,20,Projects,caricature,valentine,animal,bear,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Simple Fork &amp; Spoon Set,Add milk paint to hardwood utensils to make carved details pop,Elizabeth Sherman,,,90,Spring,2020,25,Projects,milk paint,utensils,kitchen,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Hangry Hawk,Carve this sassy caricature in an afternoon - with just one little block of wood,Dennis Thornton,,,90,Spring,2020,31,Projects,caricature,bird,animal,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Painting the Hangry Hawk,"Practice blending, drybrushing, and lining techniques on this small but expressive carving",Susan Thorton,,,90,Spring,2020,36,Projects,caricature,painting,realistic,animal,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Hummingbird Moth Gourd,Transform a treasured photo into a piece of pyrography art,Jenn Avery,,,90,Spring,2020,40,Projects,pyrography,hummingburd,potter,garden,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Trefoil Rosette Appliqué,Spruce up household furniture with a timeless floral motif,Mark Ivan Fortune,,,90,Spring,2020,46,Projects,flower,step by step,relief,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Carving a Baby Dragon,Hatch this charming creature from a tiny basswood block,Jim Feather,,,90,Spring,2020,51,Projects,caricature,animal,creature,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Simple Holiday Houses,"Customize this cottage blank for Easter, Christmas, and Halloween",Aaron Mayer,Andy Mayer,,90,Spring,2020,57,Projects,holiday,house,carving,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Comfort Turtle,Carve a simple 8-step reptile using just two tools,Tom Mellott,,,90,Spring,2020,60,Projects,hand-held,animal,anxiety,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Flat-Plane Bunny,"This rascally rabbit is as cute as the real thing, but won't destroy your vegetable patch",James Miller,,,90,Spring,2020,63,Projects,rabbit,animal,nature,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Minnow Chaser,Practice your airbrushing skills on this realistic lure,Rich Rousseau,,,90,Spring,2020,69,Projects,air-brush,fishing,lure,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Whittled Cocktail Stirrers,Spice up party beverages with these reusable picks,Tom Hindes,,,90,Spring,2020,75,Projects,holiday,party ideas,drinks,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
Woodchips: Swedish Courting Spoon,Swap out the cheesy Valentine card for a 17th-century alternative,Dave Western,,,90,Spring,2020,96,Projects,swedish,romance,spoons,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-90-spring-2020.html
The Scoop on Spoonesaurus,Emmet Van Driesche and Matt White use Instagram to bring the spoon carving community closer together,Danielle Schagrin,,,91,Summer,2020,32,Features,spoon carving,Instagram,feature,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
5 Spoon Carving Tools,"Handy products for the entire process, from roughing out to finishing touches",Jon Deck,,,91,Summer,2020,34,Features,tools,spoon carving,gouges,knives,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Spotlight: Amy Costello,Chip carver finds balance in complex designs,Hannah Rachel Carroll,,,91,Summer,2020,55,Features,chip carver,Amy Makes Everything,Salt Lake City,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Skater Dude,This gnarly caricature comes with his own built-in helmet,Rick Stoddard,,,91,Summer,2020,58,Techniques,skateboard,caricature,kid-friendly,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Carving a Lace Trompe l'oeil,Carve delicate details like a pro using one simple technique,Julien Feller,,,91,Summer,2020,76,Techniques,carving,delicate,lace,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Woodspirit in Cottonwood Bark,Carve a gorgeous female face in short order,Alec LaCasse,,,91,Summer,2020,21,Projects,bark,realistic,female,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Sunflower Weave Woodburning,"Celebrate the dog days of summer with this bright, homey design",Jo Schwartz,,,91,Summer,2020,27,Projects,woodburning,flowers,summer,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Carving a Pocket Spoon,This versatile utensil lets you eat on the go with elegance and ease,Emmet Van Driesche,,,91,Summer,2020,36,Projects,spoon carving,utensils,rustic,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Patriotic Santa,Gear up for Election Day with a candidate everyone can agree on,Bob Kozakiewicz,,,91,Summer,2020,40,Projects,USA,Uncle Sam,Santa,caricature,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Flat-Plane Alligator,"Build up layers of texture on this mean, green swamp creature",James Miller,,,91,Summer,2020,45,Projects,animals,gator,flat plane,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Elegant Floral Relief,Capture the fleeting beauty of a daylily in hardwood,Rosanna Coyne,,,91,Summer,2020,49,Projects,flower,realistic,hardwood,daylily,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Making a Chip Carved Bowl,Embellish turned objects with this clever repeating design,Amy Costello,,,91,Summer,2020,56,Projects,chip carving,kitchen,turned,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Hatching a Comfort Turtle from an Egg,Keep worries at bay with these calming creatures,Steven Kulp,,,91,Summer,2020,66,Projects,basswood egg,animals,masking technique,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Mythical Woodland Cottage: Part 2,Blend rich paint hues to finish this gorgeous pastoral paradise,Betty Padden,,,91,Summer,2020,69,Projects,hobbit house,painting,whimscial,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Easy-Carve Giraffe,Mastering this gentle giant with put you head and shoulders above the rest,Tom Hindes,,,91,Summer,2020,80,Projects,animals,whittle,beginner,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Realistic Yellow-Rumped Warbler,Learn to power carve and paint every feather on this exquisite songbird,Randy Conner,,,91,Summer,2020,83,Projects,bird,power carve,bird carve,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
Wonky Whittled Ladybugs,Bring a bit of Mother Nature indoors with these colorful carved bugs,Tim Thompson,,,91,Summer,2020,96,Projects,insects,whittle,bugs,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-91-summer-2020.html
5 Under 35,Meet five rising stars in woodcarving,Hannah Carroll,,,92,Fall,2020,18,Features,carving,artists,young,new carvers,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Carving Down Under,Germaine Keys doesn’t just carve birds—she carves tiny cartoon birds in fanciful boats,Kaylee Schofield,,,92,Fall,2020,40,Features,birds,Germaine Keys,Australia,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Paintbrush Care for Carvers,"Learn to select, clean, and store your brushes like a pro",Betty Padden,,,92,Fall,2020,55,Features,betty padden,paintbrushes,how to,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
So You Want to Teach Wood Carving?,Heed these helpful pointers as you plan your first class,Tom Hindes,,,92,Fall,2020,84,Features,how to,Tom Hindes,teach,tips,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Woodchips: Off the Chain,Traveling chainsaw artist brings extreme carving to the masses,Hannah Carroll,,,92,Fall,2020,96,Features,Griffon Ramsey,chainsaw carver,tattoos,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Chip Carved Phone Holder,The Digital Age meets Old World style in this sweet celebration of autumn,Charlene Lynum,,,92,Fall,2020,57,Patterns,cell phone,chip carve,patterns,practical,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Friendly Gnome,"Carve a cute, classic character with a twist",Sara Barraclough,,,92,Fall,2020,24,Projects,gnome,caricature,carving,Sara Barraclough,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
Stylized Sugar Spoon,Add elegance to your breakfast ritual with this simple hardwood tool,Saskia De Jager,,,92,Fall,2020,29,Projects,handcarved,kitchen,spoon carving,,https://www.foxchapelpublishing.com/woodcarving-illustrated-issue-92-fall-2020.html
